,Genre,Metascore,Released,Title,imdbID,imdbRating,imdbVotes
115,"Action, Sci-Fi",54,20 Jun 2003,Hulk,tt0286716,5.6,"238,255"
116,"Adventure, Drama, Fantasy, Romance",52,16 Nov 2012,The Twilight Saga: Breaking Dawn - Part 2,tt1673434,5.5,"213,388"
117,"Animation, Action, Adventure, Comedy, Family, Fantasy",55,22 Mar 2013,The Croods,tt0481499,7.2,"175,447"
118,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport",58,17 Jul 2013,Turbo,tt1860353,6.4,"73,893"
119,"Animation, Adventure, Comedy, Family, Western",75,04 Mar 2011,Rango,tt1192628,7.2,"213,993"
120,"Action, Adventure, Drama, History, War",81,14 Nov 2003,Master and Commander: The Far Side of the World,tt0311113,7.4,"188,666"
121,"Adventure, Sci-Fi, Thriller",73,29 Jun 2005,War of the Worlds,tt0407304,6.5,"384,387"
122,"Action, Adventure, Sci-Fi",33,31 May 2013,After Earth,tt1815862,4.8,"180,779"
123,"Action, Adventure, Comedy, Fantasy, Sci-Fi",25,19 Jul 2013,R.I.P.D.,tt0790736,5.6,"108,415"
124,"Action, Adventure, Sci-Fi, Thriller",76,22 Nov 2013,The Hunger Games: Catching Fire,tt1951264,7.5,"571,535"
125,"Animation, Action, Adventure, Comedy, Family, Fantasy",65,28 Oct 2011,Puss in Boots,tt0448694,6.6,"132,474"
