,Genre,Metascore,Released,Title,imdbID,imdbRating,imdbVotes
180,"Adventure, Drama, Fantasy",92,19 Dec 2001,The Lord of the Rings: The Fellowship of the Ring,tt0120737,8.8,"1,491,685"
181,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",73,11 Dec 2009,The Princess and the Frog,tt0780521,7.1,"108,087"
182,"Action, Crime, Drama, Mystery, Sci-Fi, Thriller",59,16 Jul 2004,"I, Robot",tt0343818,7.1,"460,488"
183,"Adventure, Comedy, Family, Fantasy",61,17 Dec 1999,Stuart Little,tt0164912,5.9,"113,522"
184,"Action, Crime, Thriller",35,09 Jun 2000,Gone in 60 Seconds,tt0187078,6.5,"244,332"
185,"Adventure, Comedy, Crime",30,23 May 2013,The Hangover Part III,tt1951261,5.8,"268,512"
186,"Action, Adventure, Drama",67,05 May 2000,Gladiator,tt0172495,8.5,"1,196,241"
187,"Biography, Crime, Drama",70,01 Jul 2009,Public Enemies,tt1152836,7.0,"260,535"
188,"Action, Drama, Mystery, Sci-Fi",55,26 Oct 2012,Cloud Atlas,tt1371111,7.4,"324,739"
189,"Action, Adventure, Thriller",80,17 Nov 2006,Casino Royale,tt0381061,8.0,"535,290"
190,"Action, Crime, Mystery, Sci-Fi, Thriller",80,21 Jun 2002,Minority Report,tt0181689,7.6,"466,431"
191,"Animation, Adventure, Family, Fantasy, Thriller",52,24 May 2013,Epic,tt0848537,6.7,"94,893"
192,"Biography, Crime, Drama",75,25 Dec 2013,The Wolf of Wall Street,tt0993846,8.2,"1,021,115"
193,"Drama, Western",81,25 Dec 2012,Django Unchained,tt1853728,8.4,"1,195,374"
194,"Action, Adventure, Thriller",51,17 Aug 2012,The Expendables 2,tt1764651,6.6,"276,258"
195,"Drama, History, Romance, War",46,16 Dec 2011,The Flowers of War,tt1410063,7.6,"45,459"
196,"Action, Drama, Thriller, War",63,12 Mar 2010,Green Zone,tt0947810,6.8,"121,517"
197,"Action, Comedy, Crime",64,06 Aug 2010,The Other Guys,tt1386588,6.7,"219,675"
198,"Action, Adventure, Thriller",37,10 Dec 2010,The Tourist,tt1243957,6.0,"205,195"
199,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",66,18 Sep 2009,Cloudy with a Chance of Meatballs,tt0844471,7.0,"184,664"
200,"Adventure, Drama, Family, Fantasy",71,16 Oct 2009,Where the Wild Things Are,tt0386117,6.8,"96,104"
201,"Adventure, Drama, Thriller",64,08 Dec 2006,Blood Diamond,tt0450259,8.0,"459,679"
202,"Action, Adventure, Family, Fantasy",38,15 Dec 2006,Eragon,tt0449010,5.1,"116,947"
203,"Comedy, Family, Fantasy",20,18 Feb 2005,Son of the Mask,tt0362165,2.2,"48,668"
204,"Action, Crime, Fantasy",27,23 Jul 2004,Catwoman,tt0327554,3.3,"101,317"
205,"Adventure, Comedy, Family, Fantasy",62,17 Dec 2004,A Series of Unfortunate Events,tt0339291,6.8,"184,162"
206,"Comedy, Horror, Sci-Fi, Thriller",42,11 Jun 2004,The Stepford Wives,tt0327162,5.3,"55,866"
207,"Adventure, Family, Fantasy, Romance",64,25 Dec 2003,Peter Pan,tt0316396,6.9,"61,133"
208,"Adventure, Family, Fantasy, Mystery",63,15 Nov 2002,Harry Potter and the Chamber of Secrets,tt0295297,7.4,"486,414"
209,"Comedy, Action, Sci-Fi",12,16 Aug 2002,The Adventures of Pluto Nash,tt0180052,3.8,"22,641"
210,"Animation, Adventure, Family, Sci-Fi",60,27 Nov 2002,Treasure Planet,tt0133240,7.1,"89,153"
211,"Animation, Adventure, Comedy, Family, Fantasy",70,15 Dec 2000,The Emperor's New Groove,tt0120917,7.4,"158,409"
212,"Action, Adventure, Sci-Fi, Thriller",51,07 Nov 1997,Starship Troopers,tt0120201,7.2,"249,647"
213,"Animation, Drama, Family, Musical, Romance",74,21 Jun 1996,The Hunchback of Notre Dame,tt0116583,6.9,"125,688"
214,"Action, Adventure, Fantasy",51,16 Jun 1995,Batman Forever,tt0112462,5.4,"218,575"
215,"Action, Comedy, Thriller",63,15 Jul 1994,True Lies,tt0111503,7.2,"218,036"
216,"Action, Sci-Fi",75,03 Jul 1991,Terminator 2: Judgment Day,tt0103064,8.5,"896,183"
217,"Crime, Drama",72,20 Dec 2002,Gangs of New York,tt0217505,7.5,"368,584"
218,"Adventure, Family, Fantasy",47,12 Feb 2010,Percy Jackson & the Olympians: The Lightning Thief,tt0814255,5.9,"163,970"
219,"Comedy, Drama, Romance",27,27 May 2010,Sex and the City 2,tt1261945,4.4,"68,638"
220,"Action, Thriller",69,12 Nov 2010,Unstoppable,tt0477080,6.8,"171,724"
221,"Drama, Fantasy, Thriller",42,15 Jan 2010,The Lovely Bones,tt0380510,6.7,"144,727"
222,"Drama, History, War",74,18 Jan 2002,Black Hawk Down,tt0265086,7.7,"337,262"
223,"Animation, Adventure, Comedy, Family, Romance",51,31 Mar 2000,The Road to El Dorado,tt0138749,6.9,"74,589"
224,"Action, Adventure, Sci-Fi",52,09 May 1997,The Fifth Element,tt0119116,7.7,"398,843"
225,"Animation, Adventure, Comedy, Family",90,30 May 2003,Finding Nemo,tt0266543,8.1,"858,151"
226,"Adventure, Drama, Fantasy",94,17 Dec 2003,The Lord of the Rings: The Return of the King,tt0167260,8.9,"1,477,575"
227,"Adventure, Drama, Fantasy",87,18 Dec 2002,The Lord of the Rings: The Two Towers,tt0167261,8.7,"1,334,346"
228,"Action, Adventure, Fantasy, Thriller",33,15 Jun 2001,Lara Croft: Tomb Raider,tt0146316,5.8,"184,518"
229,"Action, Drama, Sci-Fi, Thriller",68,05 Aug 2011,Rise of the Planet of the Apes,tt1318514,7.6,"469,942"
230,"Action, Thriller",28,14 Feb 2013,A Good Day to Die Hard,tt1606378,5.3,"187,351"
231,"Animation, Action, Adventure, Family",90,05 Nov 2004,The Incredibles,tt0317705,8.0,"594,854"
232,"Adventure, Family, Fantasy, Thriller",39,07 Aug 2013,Percy Jackson: Sea of Monsters,tt1854564,5.8,"101,544"
233,"Animation, Adventure, Comedy, Family, Musical",63,15 Apr 2011,Rio,tt1436562,6.9,"190,153"
234,"Crime, Drama, Mystery, Thriller",71,21 Dec 2011,The Girl with the Dragon Tattoo,tt1568346,7.8,"385,723"
235,"Action, Adventure, Romance",35,21 Oct 2011,The Three Musketeers,tt1509767,5.8,"97,972"
236,"Animation, Action, Adventure, Comedy, Family",50,01 Jul 2009,Ice Age: Dawn of the Dinosaurs,tt1080016,7.0,"201,575"
237,"Action, Adventure, Crime, Mystery, Thriller",57,25 Dec 2009,Sherlock Holmes,tt0988045,7.6,"545,768"
238,"Crime, Drama, Mystery, Thriller",76,30 Apr 2010,The Girl with the Dragon Tattoo,tt1132620,7.8,"196,692"
239,"Action, Adventure, Comedy, War",71,13 Aug 2008,Tropic Thunder,tt0942385,7.0,"349,597"
240,"Drama, History, Thriller, War",56,25 Dec 2008,Valkyrie,tt0985699,7.1,"212,451"
241,"Crime, Drama, Thriller",85,06 Oct 2006,The Departed,tt0407887,8.5,"1,062,454"
242,"Action, Adventure, Fantasy",43,25 Jul 2003,Lara Croft Tomb Raider: The Cradle of Life,tt0325703,5.5,"121,018"
243,"Adventure, Drama, Sci-Fi",65,29 Jun 2001,A.I. Artificial Intelligence,tt0212720,7.1,"272,779"
244,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",52,15 Jun 2001,Atlantis: The Lost Empire,tt0230011,6.9,"91,490"
245,"Action, Adventure, Comedy, Crime, Thriller",52,03 Nov 2000,Charlie's Angels,tt0160127,5.5,"161,866"
246,"Action, Horror, Sci-Fi, Thriller",24,04 Aug 2000,Hollow Man,tt0164052,5.7,"114,093"
247,"Adventure, Sci-Fi, Thriller",34,10 Mar 2000,Mission to Mars,tt0183523,5.6,"66,653"
248,"Drama, Fantasy, Horror, Mystery, Thriller",51,21 Jul 2000,What Lies Beneath,tt0161081,6.6,"109,914"
249,"Animation, Adventure, Comedy, Family, Fantasy",88,24 Nov 1999,Toy Story 2,tt0120363,7.9,"465,295"
