station,line,local_authority,zone,usage
Hornchurch,District,Havering,6,2.24
Hounslow Central,Piccadilly[l],Hounslow,4,3.95
Hounslow East,Piccadilly[l],Hounslow,4,4.04
Hounslow West,Piccadilly[l],Hounslow,5,3.52
Hyde Park Corner,Piccadilly,City of Westminster,1,5.54
Ickenham,"Metropolitan
Piccadilly[k]",Hillingdon,6,1.17
Kennington,Northern,Southwark,2,5.58
Kensal Green,Bakerloo,Brent,2,2.69
Kensington (Olympia),District,Kensington and Chelsea,2,2.01
Kentish Town,Northern,Camden,2,8.35
Kenton,Bakerloo,"Brent
Harrow",4,2.07
Kew Gardens,District,Richmond,3 & 4,4.37
Kilburn,Jubilee[e],Brent,2,8.62
Kilburn Park,Bakerloo,Brent,2,3.37
Kingsbury,Jubilee[e],Brent,4,5.22
King's Cross St Pancras,"Metropolitan[b]
Northern
Piccadilly
Circle
Victoria
Hammersmith & City",Camden,1,97.92
Knightsbridge,Piccadilly,Kensington and Chelsea,1,17.21
Ladbroke Grove,"Hammersmith & City[m]
Circle",Kensington and Chelsea,2,5.95
Lambeth North,Bakerloo,Lambeth,1,3.53
Lancaster Gate,Central,City of Westminster,1,6.24
Latimer Road,"Hammersmith & City[m]
Circle",Kensington and Chelsea,2,6.24
Leicester Square,"Piccadilly
Northern",City of Westminster,1,36.73
Leyton,Central,Waltham Forest,3,13.47
Leytonstone,Central,Waltham Forest,3 & 4,11
Liverpool Street,"Metropolitan[b]
Central
Circle
Hammersmith & City",City of London,1,67.74
London Bridge,"Northern
Jubilee",Southwark,1,69.05
Loughton,Central,Epping Forest,6,3.58
Maida Vale,Bakerloo,City of Westminster,2,3.29
Manor House,Piccadilly,"Hackney
Haringey",2 & 3,8.69
Mansion House,"District[i]
Circle",City of London,1,6.41
Marble Arch,Central,City of Westminster,1,14
Marylebone,Bakerloo,City of Westminster,1,13.7
Mile End,"District[j]
Hammersmith & City
Central",Tower Hamlets,2,15.75
Mill Hill East,Northern,Barnet,4,1.38
Monument,"District[i]
Circle",City of London,1,"61.80
[note 3]"
Moorgate,"Metropolitan[b]
Northern
Circle
Hammersmith & City",City of London,1,26.87
Moor Park,Metropolitan,Three Rivers,6 & 7,0.94
Morden,Northern,Merton,4,10.41
Mornington Crescent,Northern,Camden,2,5.08
Neasden,Jubilee[e],Brent,3,3.84
Newbury Park,Central,Redbridge,4,5.53
North Acton,Central,Ealing,2 & 3,6.79
North Ealing,Piccadilly[h],Ealing,3,0.83
North Greenwich,Jubilee,Greenwich,2 & 3,28.15
North Harrow,Metropolitan,Harrow,5,1.92
North Wembley,Bakerloo,Brent,4,1.77
Northfields,Piccadilly[l],Ealing,3,3.99
